Name/Month/Day/Year
Noel Acciari,5,1,1991
David Backes,5,1,1984
Patrice Bergeron,5,1,1985
Peter Cehlarik,8,2,1995
Charlie Coyle,3,2,1992
Jake DeBrusk,10,17,1996
Danton Heinen,7,5,1995
Marus Johansson,10,6,1990
Name/Month/Day/Year
David Krejci,4,28,1986
Sean Kuraly,1,20,1993
Brad Marchand,5,11,1988
Joakim Nordstrom,2,25,1992
David Pastrnak,5,25,1996
Chris Wagner,5,27,1991
Brandon Carlo,11,26,1996
Zdeno Chara,3,18,1977
Matt Grzelcyk,1,5,1994
Steven Kampfer,11,24,1988
Torey Krug,3,12,1991
Charlie McAvoy,12,21,1997
Kevan Miller,11,15,1987
John Moore,11,19,1990
Jaroslav Halak,5,13,1985
Tuukka Rask,3,10,1987
